time_s,voltage_v,current_a,temperature_c
0.0,-2.1600253582000732,-5.904945282964036e-06,2.7660000324249268
0.9529999999999745,-1.7984117269515991,6.0576539340218e-08,2.7660000324249268
1.890999999999849,-1.6157395839691162,-2.308921664972985e-10,2.7665998935699463
2.8279999999999745,-1.3113172054290771,-9.685946489312869e-11,2.7660999298095703
3.75,-1.1999365091323853,-1.0443210185506757e-10,2.7665998935699463
4.671999999999798,-1.0616310834884644,-9.000059725261522e-11,2.7665998935699463
5.625,-0.9883867502212524,-7.675712149213254e-11,2.766700029373169
6.546999999999798,-0.8824126124382019,3.568325496194902e-11,2.766700029373169
7.4849999999999,1.2672629356384277,3.6896607991110386e-10,2.766700029373169
8.421999999999798,0.6249680519104004,-1.9985631205532428e-10,2.7665998935699463
9.375,12.829024314880371,-1.862517778894457e-10,2.7665998935699463
10.296999999999798,6.290350914001465,3.7105918337942967e-10,2.765699863433838
11.2349999999999,12.844776153564453,3.9886854930060167e-10,2.7665998935699463
12.155999999999949,12.85158920288086,1.3499003304051627e-10,2.7655999660491943
13.077999999999975,11.424419403076172,-6.8248922138747226e-12,2.7660999298095703
14.015999999999849,8.608396530151367,-1.4969974912459882e-11,2.766199827194214
14.952999999999975,6.54478120803833,-2.9336109930167e-11,2.766199827194214
15.905999999999949,4.869193077087402,-2.8171456487036117e-11,2.766700029373169
16.8599999999999,3.4997100830078125,-3.283925562036494e-11,2.76639986038208
17.796999999999798,2.42594575881958,-3.5958267613489525e-11,2.7665998935699463
18.7349999999999,1.544297695159912,-4.7105808836933605e-11,2.7665998935699463
19.671999999999798,0.8162229657173157,-4.1008821338728296e-11,2.766700029373169
20.593999999999824,0.2506888508796692,-4.28007282393672e-11,2.766700029373169
21.546999999999798,-0.24110808968544006,-4.4464404380661904e-11,2.766700029373169
22.4849999999999,-0.6104709506034851,-5.337581765463284e-11,2.766700029373169
23.437999999999874,-0.9351050853729248,-5.434130576076335e-11,2.766700029373169
24.39099999999985,-1.1861881017684937,-4.6252696117576875e-11,2.766700029373169
25.343999999999824,-1.3702174425125122,-4.6532524361486693e-11,2.766199827194214
26.28099999999995,-1.5309937000274658,-5.5300684170811465e-11,2.766199827194214
27.218999999999824,-1.6483166217803955,-5.587035695198139e-11,2.7665998935699463
28.14099999999985,-1.7282757759094238,-5.5078712424272425e-11,2.766199827194214
29.093999999999824,-1.8063234090805054,-4.726464011839404e-11,2.7665998935699463
